#x,T,xh2o,S,qx,X_SLW1,Ss_SLW1,X_LBL,Ss_LBL
#[m],[K],[],[kW/m3],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
,,,,,,,6.36801345687704,-28.8986906950042
,,,,,,,6.4308090663819,-27.4658734921257
,,,,,,,6.49355742561626,-26.192147950047
,,,,,,,6.55630578485062,-24.9184224079683
,,,,,,,6.63989151337891,-23.4852744531962
,,,,,,,6.70263987261327,-22.2115489111175
,,,,,,,6.76543548211814,-20.778731708239
,,,,,,,6.80739372232906,-19.5053369180539
,,,,,,,6.87018933183393,-18.0725197151754
,,,,,,,6.93298494133879,-16.6397025122969
,,,,,,,6.99578055084365,-15.2068853094184
,,,,,,,7.0584816598075,-14.0922514281394
,,,,,,,7.12137176985338,-12.3412509036614
,,,,,,,7.20495749838168,-10.9081029488894
,,,,,,,7.26775310788654,-9.47528574601089
,,,,,,,7.3305014671209,-8.20156020393217
,,,,,,,7.39320257608475,-7.0869263226532
,,,,,,,7.4559509353191,-5.81320078057447
,,,,,,,7.5395366638474,-4.38005282580243
,,,,,,,7.60228502308176,-3.1063272837237
,,,,,,,7.66498613204561,-1.99169340244473
,,,,,,,7.74852461030339,-0.717637108472449
,,,,,,,7.83201583829067,0.397327524700074
,,,,,,,7.9363916858424,1.83080623136567
,,,,,,,8.01988291382968,2.9457708645382
,,,,,,,8.14500163013433,4.22048866229759
,,,,,,,8.24928297714504,5.33578404736367
,,,,,,,8.39509731193211,6.2926492754171
,,,,,,,8.54086439644867,7.09042284267077
,,,,,,,8.68653698042421,7.57001308832493
,,,,,,,8.83211506385874,7.73142001237957
,,,,,,,8.99838876577569,7.57497436672825
,,,,,,,9.14382509839869,7.25910630838361
,,,,,,,9.33074716852754,6.62571643222657
,,,,,,,9.45525163131559,5.83224263958911
,,,,,,,9.55901322535071,5.19752975585785
,,,,,,,9.66268031884483,4.24463355052707
,,,,,,,9.78713753136237,3.29206809708985
,,,,,,,9.89080462485648,2.33917189175908
,,,,,,,9.97358709878614,1.06776161293523
