#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.545000000000000E+000,    0.447546765416408E+003,    0.737733827082041E-001,    0.491822551388027E-001,    0.000000000000000E+000,    0.189103458564695E+001,    0.904124814838189E+000,    0.000000000000000E+000,   -0.307452427316899E+002,   -0.252711597713369E+002
    0.555000000000000E+000,    0.449257791589519E+003,    0.746288957947595E-001,    0.497525971965063E-001,    0.000000000000000E+000,    0.191510707600649E+001,    0.907497008659292E+000,    0.000000000000000E+000,   -0.307639422440902E+002,   -0.252797350830601E+002
    0.565000000000000E+000,    0.450996314471390E+003,    0.754981572356949E-001,    0.503321048237966E-001,    0.000000000000000E+000,    0.193537864291445E+001,    0.911044512760358E+000,    0.000000000000000E+000,   -0.307828765924944E+002,   -0.252883288325671E+002
    0.575000000000000E+000,    0.452762143413395E+003,    0.763810717066977E-001,    0.509207144711318E-001,    0.000000000000000E+000,    0.195892687754164E+001,    0.914544478289867E+000,    0.000000000000000E+000,   -0.308020086546298E+002,   -0.252969475418179E+002
    0.585000000000000E+000,    0.454555084772493E+003,    0.772775423862465E-001,    0.515183615908310E-001,    0.000000000000000E+000,    0.198160002559935E+001,    0.918028471070835E+000,    0.000000000000000E+000,   -0.308213693794077E+002,   -0.253055906439290E+002
    0.595000000000000E+000,    0.456374941932458E+003,    0.781874709662291E-001,    0.521249806441527E-001,    0.000000000000000E+000,    0.200542576571130E+001,    0.921456192209238E+000,    0.000000000000000E+000,   -0.308409506678051E+002,   -0.253142590150064E+002
    0.605000000000000E+000,    0.458221515325445E+003,    0.791107576627227E-001,    0.527405051084818E-001,    0.000000000000000E+000,    0.202771608303218E+001,    0.924894100799110E+000,    0.000000000000000E+000,   -0.308607634172893E+002,   -0.253229512519984E+002
    0.615000000000000E+000,    0.460094602453873E+003,    0.800473012269364E-001,    0.533648674846243E-001,    0.000000000000000E+000,    0.204912693615992E+001,    0.928351444681382E+000,    0.000000000000000E+000,   -0.308807914797765E+002,   -0.253316677807905E+002
    0.625000000000000E+000,    0.461993997912629E+003,    0.809969989563147E-001,    0.539979993042098E-001,    0.000000000000000E+000,    0.207239495747845E+001,    0.931884973588833E+000,    0.000000000000000E+000,   -0.309010287316887E+002,   -0.253404083198825E+002
    0.635000000000000E+000,    0.463919493411599E+003,    0.819597467057994E-001,    0.546398311371996E-001,    0.000000000000000E+000,    0.209647873586077E+001,    0.935460013532275E+000,    0.000000000000000E+000,   -0.309214926474046E+002,   -0.253491748260955E+002
    0.645000000000000E+000,    0.465870877798501E+003,    0.829354388992506E-001,    0.552902925995004E-001,    0.000000000000000E+000,    0.212038453138300E+001,    0.939150307613133E+000,    0.000000000000000E+000,   -0.309421890331071E+002,   -0.253579667914164E+002
    0.655000000000000E+000,    0.467847937082048E+003,    0.839239685410241E-001,    0.559493123606827E-001,    0.000000000000000E+000,    0.214331071983426E+001,    0.943026765782078E+000,    0.000000000000000E+000,   -0.309631182584955E+002,   -0.253667848668518E+002
    0.665000000000000E+000,    0.469850454455410E+003,    0.849252272277051E-001,    0.566168181518034E-001,    0.000000000000000E+000,    0.216718157071508E+001,    0.947069002272577E+000,    0.000000000000000E+000,   -0.309842680150023E+002,   -0.253756322316974E+002
    0.675000000000000E+000,    0.471878210319991E+003,    0.859391051599954E-001,    0.572927367733303E-001,    0.000000000000000E+000,    0.219123323737449E+001,    0.951313372795673E+000,    0.000000000000000E+000,   -0.310056510866613E+002,   -0.253845104913630E+002
    0.685000000000000E+000,    0.473930982309509E+003,    0.869654911547543E-001,    0.579769941031696E-001,    0.000000000000000E+000,    0.221551247706789E+001,    0.955856911671964E+000,    0.000000000000000E+000,   -0.310272689349963E+002,   -0.253934206536166E+002
